time_local,Actual,LinReg,XGBoost,LinReg_norm,XGB_norm
2026-02-14 21:00:00,-42,0.0,0.0,133.81772204660754,0.0
2026-02-14 22:00:00,-48,0.0,21.800781,40.46266149917893,14.308816061820835
2026-02-14 23:00:00,-51,0.0,0.0,24.37140342943415,0.0
2026-02-15 00:00:00,-51,0.0,0.0,122.4009717641335,0.932289995616884
2026-02-15 01:00:00,-50,0.0,76.55303,162.4251457382665,48.44814594928175
2026-02-15 02:00:00,-50,0.0,62.255154,122.26139857084479,5.790724575170316
2026-02-15 03:00:00,-51,0.0,59.421654,180.43203735472576,63.868753323331475
2026-02-15 04:00:00,-52,0.0,200.93456,352.66166084065327,218.0893785841763
2026-02-15 05:00:00,-51,0.0,68.443726,353.1147226721898,46.04238300584257
2026-02-15 06:00:00,-50,0.0,0.0,397.0880638680019,0.0
2026-02-15 07:00:00,138,0.0,163.72719,0.0,153.97490835562348
2026-02-15 08:00:00,3955,2550.768247932526,1239.869,3506.530205180056,1470.800578057766
2026-02-15 09:00:00,10160,5245.023570232228,4623.7417,5797.3535711229615,5118.981255054474
2026-02-15 10:00:00,13950,9860.431299121869,10925.225,9572.887706555639,11597.315958023071
2026-02-15 11:00:00,15271,12865.415129482626,12183.076,12320.159662270904,12904.293633699417
2026-02-15 12:00:00,15803,13840.01699321116,12509.057,13000.862739187947,12884.7223777771
2026-02-15 13:00:00,15220,13248.577141808535,11843.228,12401.876442166093,12261.064695596695
2026-02-15 14:00:00,14819,12169.1381408979,10564.321,11442.398887375035,11261.466868400574
2026-02-15 15:00:00,12960,11444.262573957627,10612.027,10928.632100447921,10823.364784240723
2026-02-15 16:00:00,9239,9217.874926416966,10680.51,9174.724503774356,11121.649393558502
2026-02-15 17:00:00,3440,4537.140073120645,7847.018,4645.147743391437,7410.078251838684
2026-02-15 18:00:00,178,955.0355361307647,3031.1177,1252.500681564107,3086.9824317097664
2026-02-15 19:00:00,-55,64.1096344147918,133.74176,535.1192889709465,105.964962746948
2026-02-15 20:00:00,-48,0.0,0.0,0.0,0.0
2026-02-15 21:00:00,-47,0.0,0.0,93.88099127374906,0.0
2026-02-15 22:00:00,-47,0.0,0.0,0.0,0.0
2026-02-15 23:00:00,-51,145.25587669441802,33.911827,136.07939446358273,0.0
2026-02-16 00:00:00,-50,251.49162073583193,18.91436,227.21554531796357,0.0
2026-02-16 01:00:00,-50,170.58948549667093,36.56827,277.7016962407581,10.855909966863692
2026-02-16 02:00:00,-50,0.0,27.706135,94.34793713648669,6.846349271479994
2026-02-16 03:00:00,-51,25.702277200079152,62.37935,224.98684577797184,67.25649547018111
2026-02-16 04:00:00,-51,14.02119624847137,0.7814653,206.44401872858532,0.0
2026-02-16 05:00:00,-51,239.99052914223694,37.94488,372.01835324218695,4.890259780338965
2026-02-16 06:00:00,-51,455.9517880470012,0.0,421.1322369537574,0.0
2026-02-16 07:00:00,29,481.51108130466855,0.0,364.68428591341114,0.0
2026-02-16 08:00:00,1403,778.8619203613353,892.7059,736.6691382115719,755.8630950450897
2026-02-16 09:00:00,3659,2435.760573564032,2475.4463,2263.6607955309673,2695.948856949806
2026-02-16 10:00:00,5175,2413.228679794037,1994.8618,2221.3643954400704,2234.708373337984
2026-02-16 11:00:00,6682,2121.4701355282577,1690.6799,2005.308947917628,2152.091847091913
2026-02-16 12:00:00,8267,1738.0029232871111,4861.932,2118.9211632776137,5320.168419599533
